0
5 13 15
0 1 597 28884
0 2 1899 28884
0 3 1935 28884
0 4 1938 28884
0 5 1939 28884
1 6 0 0
1 7 580 0
1 8 585 0
1 1 597 0
2 9 0 0
2 10 216 0
2 2 1899 0
3 11 0 0
3 12 141 0
3 13 160 0
3 3 1935 0
4 14 0 0
4 15 371 0
4 4 1938 0
5 5 1939 0
6 6 0 0
6 7 580 0
6 8 585 0
7 9 0 0
7 7 580 0
7 10 216 0
8 11 0 0
8 8 585 0
8 12 141 0
8 13 160 0
9 9 0 0
9 10 216 0
10 11 0 0
10 10 216 0
10 12 141 0
10 13 160 0
11 11 0 0
11 12 141 0
11 13 160 0
12 14 0 0
12 12 141 0
12 15 371 0
13 13 160 0
14 14 0 0
14 15 371 0
15 15 371 0
